Design,Bushing IDs,SKU Count,SKUs,Category,Drill Size(s),Tube Length(s)
Slimline Pro Pencil Kit,PK-PENXXBU,2,PK-PCLXX;PKPCLXXCH,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
Slimline Twist Pen Kit,PKM-BUSH3,1,PK-PENAB,Slimline Pen Kits,7mm,Tube 2-1/32”
Soccer Twist Pen Kit,PKSCERBU,3,PKSCERAP;PKSCERCH;PKSCERGM,Soccer Pen Kits,3/8in,Tube 3.205”
Sophro Capless Rollerball Twist Pen Kit,PKSOPHBU,2,PKSOPHAL;PKSOPHCH,Sophro Pen Kits,10.5mm,Tube 3.108”
Southwest with Turquoise Stone Twist Pen Kit,PKSWPBU,2,PKSWPAB;PKSWPAP,Southwest Pen Kits,3/8in,Lower Tube / Barrel 1.915”;Upper Tube / Barrel 1.495”
Spartan Click Pen Kit,PKMAJSQBU,2,PKRPEN24;PKRPENGM,Spartan Pen Kits,3/8in,Tube / Barrel 2.79”
Statue of Liberty Flag Bolt Action Pen Kit,PKCP3000BU,3,PKCP8SLAB;PKCP8SLAC;PKCP8SLAP,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Steam Locomotive Pen Kit,PKPPENBU,2,PKSTLAP;PKSTLGM,Steam Locomotive Pen Kits,3/8in,Tube 2.271”
Steampump Pen Kit and,PKSPBU,1,PKSPABAP,Steampunk Pen Kits,10mm,Tube 5-5/8”;Tube 2.169”
Steampump Pen Kit Oil Rubbed and,PKSPBU,1,PKSPABORB,Steampunk Pen Kits,10mm,Tube 5-5/8”;Tube 2.169”
Steampunk Bolt Action and Pen Kit,PKVICBU,3,PKSPPA;PKSPPB;PKSPPC,Steampunk Pen Kits,3/8in,"Tube / Barrel 1.85"""
Stratus Click Pen Kit,PKCHPENBU,2,PKKPEN24;PKKPENGM,Stratus Pen Kits,3/8in,Tube / Barrel 2-11/16”
Stratus Pen Click Kit,PKCHPENBU,1,PKKPENCH,Stratus Pen Kits,3/8in,Tube / Barrel 2-11/16”
Stratus Pencil Kit,PKCHPENBU,2,PKKPCLCH;PKKPCLGM,Stratus Pen Kits,3/8in,Tube / Barrel 2.715”
Tank OD Green Twist Pen Kit,PKTANKBU,1,PKTANKGR,Tank Pen Kits,3/8in,Tube / Barrel 2.8425”
Tank Twist Pen Kit,PKTANKBU,2,PKTANKAB;PKTANKAP,Tank Pen Kits,3/8in,Tube / Barrel 2.8425”
Teachers Twist Pen Kit,PKM-BUSH3,1,PKTEACH,Specialty Pen Kits,7mm,"End Tube 13/16"";Center Tube 2-3/16"""
Tee Time Golf Twist Pen Kit,PKBASKETBU,2,PKTEECH;PKTEEGD,Golf Pen Kits,3/8in,Tube 3.268”
Titan Gearshift Tire Spinner Pen Kit,PKGEARFBU,4,PKGEARFAB;PKGEARFAP;PKGEARFCH;PKGEARFGM,Gearshift Pen Kits,3/8in,Tube 2-7/32”
Touch Stylus Kit,PKM-BUSH3,2,PKTST24;PKTSTCH,Stylus Pen Kits,7mm,Tube / Barrel 3-3/16”
Touch Stylus Pen Kit,PKM-BUSH3,3,PKTSPEN24;PKTSPENCH;PKTSPENGM,Stylus Pen Kits,7mm,Tube / Barrel 1-29/32”
Traditional Fountain Pen Kit,PK10-BUSH3,1,PK10-FP2,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
Traditional Rollerball Pen Kit,PK10-BUSH3,1,PK10-RP2,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
Trimline Pencil Kit,PKXMBU,1,PKXMPLGM,Trimline Pen Kits,7mm,Tube 2.0”
Trimline Twist Pen Kit,PKXMBU,3,PKXM24;PKXMCH;PKXMGM,Trimline Pen Kits,7mm,"Upper Tube 2-3/32"";Lower Tube 2-3/32"""
Tycoon Fountain Pen Kit,PKTYBU,1,PKTYFP24,Tycoon Pen Kits,15/32in;25/64in,"Upper Tube 1-3/16"";Lower Tube 2-1/8"""
Tycoon Rollerball Pen Kit,PKTYBU,2,PKTYRB24;PKTYRBP,Tycoon Pen Kits,15/32in;25/64in,"Upper Tube 1-3/16"";Lower Tube 2-1/8"""
Vertex Bolt Action Pen Kit,PKFP4500BU,3,PKFP4500;PKFP4510;PKFP4520,Vertex Pen Kits,10mm,Tube 2.087”
Vertex Brushed Satin Click Pen Kit,PKFPBU,1,PKFP4020,Vertex Pen Kits,3/8in,"Tube 2.91"""
Vertex Click Pen Kit,PKFPBU,5,PKFP4000;PKFP4010;PKFP4030;PKFP4040;PKFP4050,Vertex Pen Kits,3/8in,"Tube 2.91"""
Vertex Pencil Kit,PKFPBU,2,PKFP4100;PKFP4110,Vertex Pen Kits,3/8in,"Tube 2.9"""
Vertex Supreme Fountain Pen Kit,PKGRAD2BU,1,PKFP5610,Vertex Pen Kits,10.5mm;12.5mm,Lower Tube 2-5/8”
Vertex Supreme Rollerball Pen Kit,PKGRAD2BU,2,PKFP5510;PKFP5540,Vertex Pen Kits,10.5mm;12.5mm,Lower Tube 2-5/8”
Vertex Supreme with Accents Fountain Pen Kit,PKGRAD2BU,1,PKFP5600,Vertex Pen Kits,10.5mm;12.5mm,Lower Tube 2-5/8”
Vertex Supreme with Accents Rollerball Pen Kit,PKGRAD2BU,1,PKFP5500,Vertex Pen Kits,10.5mm;12.5mm,Lower Tube 2-5/8”
Vesper Click Pen Kit,PKVESBU,3,PKVEP24;PKVEPCH;PKVEPGM,Vesper Pen Kits,10mm,Tube / Barrel 2.28”
Victorian Fountain Pen Kit,PKVICRBU,1,PKVICFPAB,Victorian Pen Kits,10.5mm;12.5mm,Tube / Barrel 2-9/32”;Tube / Barrel 1.37”
Victorian Twist Pen Kit,PKVICBU,3,PKVIC24;PKVICAB;PKVICAP,Victorian Pen Kits,3/8in,Tube / Barrel 1-11/32”
We the People Bolt Action Pen Kit,PKCP3000BU,3,PKCP8WAB;PKCP8WAC;PKCP8WAP,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Workshop/Sketch Pencil Kit,PKSPCLBU,1,PKSPCL,Workshop Sketch Pen &amp; Pencil Kits,11mm,"Tube 1.776"""
Yoga Oil Rubbed Twist Pen Kit,PKYOGABU,1,PKYOGAORB,Yoga Pen Kits,3/8in,"Lower Tube 1.954"";Upper Tube 1.49"""
Yoga Twist Pen Kit,PKYOGABU,2,PKYOGA24;PKYOGACH,Yoga Pen Kits,3/8in,"Lower Tube 1.954"";Upper Tube 1.49"""
