Design,Bushing IDs,SKU Count,SKUs,Category,Drill Size(s),Tube Length(s)
Funline Comfort Satin Pearl Twist Pen Kit,PKCFBUSH,1,PKCFFUNSP,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Funline Comfort Twist Pen Kit,PKCFBUSH,4,PKCFFUNCH;PKCFFUNCO;PKCFFUNGM;PKCFFUNSG,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Funline Designer Economy Twist Pen Kit,PKMONTBUY,1,PKMTFUN24,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
Funline Designer Satin Pearl Twist Pen Kit,PKMONTBUY,1,PKMTFUNSP,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
Funline Designer Twist Pen Kit,PKMONTBUY,3,PKMTFUNCH;PKMTFUNGM;PKMTFUNSG,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
Funline Designer Twist Pen Kits,PKMONTBUY,1,PKMTFUNCO,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
Funline Slimline Economy Pen Kit,PKM-BUSH3,1,PKSLFUN24,Funline Pen Kits,7mm,NOT FOUND
Funline Slimline Economy Pencil Kit,PKM-BUSH3,1,PKSLFUPL24,Funline Pen Kits,7mm,Tube 2-1/32”
Funline Slimline Pencil Kit,PKM-BUSH3,3,PKSLFUPLCH;PKSLFUPLCO;PKSLFUPLGM,Funline Pen Kits,7mm,Tube 2-1/32”
Funline Slimline Satin Pearl Pen Kit,PKM-BUSH3,1,PKSLFUNSP,Funline Pen Kits,7mm,NOT FOUND
Funline Slimline Twist Pen Kit,PKM-BUSH3,4,PKSLFUNCH;PKSLFUNCO;PKSLFUNGM;PKSLFUNSG,Funline Pen Kits,7mm,NOT FOUND
Gatsby and Twist Pen Kit,PKGABU,2,PKGA24GM;PKGACHGM,Gatsby Pen Kits,27/64in,"Tube 2-7/32"""
Gatsby Brushed Satin Twist Pen Kit,PKGABU,1,PKGAPENS,Gatsby Pen Kits,27/64in,"Tube 2-7/32"""
Gatsby Click Pen Kit,PKGABU,3,PKGAPENC24;PKGAPENCP;PKGAPENCTN,Gatsby Pen Kits,27/64in,"Tube 2-1/4"""
Gatsby Grande and Twist Pen Kit,PKGAFBU,2,PKGAF24GM;PKGAFCHGM,Gatsby Pen Kits,3/8in,Tube 2-3/16”
Gatsby Grande Twist Pen Kit,PKGAFBU,3,PKGAF24;PKGAFCH;PKGAFGM,Gatsby Pen Kits,3/8in,Tube 2-3/16”
Gatsby Twist Pen Kit,PKGABU,6,PKGAPEN24;PKGAPENAB;PKGAPENAC;PKGAPENCH;PKGAPENGM;PKGAPENTN,Gatsby Pen Kits,27/64in,"Tube 2-7/32"""
Gearshift Pen Kit,PKMAJSQBU,4,PKGEARAB;PKGEARAP;PKGEARCH;PKGEARGM,Gearshift Pen Kits,3/8in,Tube / Barrel 2-7/32”
Golf Driver Pen Kit,PKCLUBBU,2,PKCLUBDCH;PKCLUBDGM,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
Golf Iron Pen Kit,PKCLUBBU,2,PKCLUBRCH;PKCLUBRGM,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
Golf Putter Pen Kit,PKCLUBBU,2,PKCLUBPCH;PKCLUBPGM,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
Graduate Twist Pen Kit,PKGRADBU,3,PKGRAD24;PKGRADCH;PKGRADGM,Graduate Pen Kits,7mm,Lower Tube / Barrel 2-7/16”
Grenade Click Pen Kit,PKGRENBU,1,PKGREN24,Grenade Pen Kits,10mm,Tube / Barrel 2.640”
Groove Click Pen Kit,PKM-BUSH3,4,PKGVCL24;PKGVCLCH;PKGVCLGM;PKGVCLSC,Groove Pen Kits,7mm,"Upper Tube 2-1/16"";Lower Tube 2-1/16"""
Groove Twist Pen Kit,PKM-BUSH3,4,PKGVTW24;PKGVTWCH;PKGVTWGM;PKGVTWSC,Groove Pen Kits,7mm,Tube 2-1/32”
GT2 with Stylus Twist Pen Kit,NOT LISTED,1,PKGT2STGM,GT2 Pen Kits,NOT LISTED,NOT FOUND
Handgun Click Pen Kit,PKABBU,4,PKHGUNAB;PKHGUNAP;PKHGUNFBK;PKHGUNGM,Handgun Pen Kits,3/8in,Tube 2.225”
Heavenly Messenger Cardinal Ballpoint Twist Pen Kit,PKFSANDBU,4,PKHEAVAP;PKHEAVCH;PKHEAVGD;PKHEAVGM,Heavenly Messenger Cardinal Pen Kits,3/8in,Tube 2.226”
Hockey Twist Pen Kit,PKHOCKBU,3,PKHOCKCH;PKHOCKGD;PKHOCKGM,Hockey Pen Kits,3/8in,Lower Tube 1.795”;Upper Tube 1-3/4”
Honeycomb and Twist Pen Kit,PKHCBU,1,PKHCABAP,Honeycomb Pen Kits,3/8in,"Upper Tube 1-7/8"";Lower Tube 1-29/32"""
Horse Twist Pen Kit,PK50RBU,4,PKHORSEAB;PKHORSEAP;PKHORSECH;PKHORSEGD,Horse Pen Kits,3/8in,Tube 2.995”
Icon Pen Kit,PKM-BUSH3,2,PKICONCH;PKICONGM,Icon Pen Kits,7mm,Tube 3-1/8”
Icon Pen Kit 6061-T6,PKM-BUSH3,1,PKICONAL,Icon Pen Kits,7mm,Tube 3-1/8”
Jet Airliner Twist Pen Kit,PKLINERBU,3,PKLINERAP;PKLINERCH;PKLINERGD,Airplane Pen Kits,3/8in,Tube 3.545”
John 3:16 Twist Pen Kit,PKFSANDBU,4,PKJ316AP;PKJ316CH;PKJ316GD;PKJ316GM,Christian Pen Kits,3/8in,Tube 2.226”
Knights Armor Twist Pen,PKMAJSQBU,2,PKA100;PKA110,Knights Armor Pen Kits,3/8in,Tube / Barrel 2.72”
Kole EDC Click Pen Kit,PKSRBU,4,PKKOLEBR;PKKOLECH;PKKOLEGD;PKKOLEGM,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
Kole EDC Click Pen Kit Anodized Aliuminum,PKSRBU,1,PKKOLEBK,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
Lever Action Click Pen Kit with Metal Gunstock,PKLEVBU,5,PKLEV24X;PKLEVABX;PKLEVAPX;PKLEVBKX;PKLEVGMX,Lever Action Pen Kits,10.5mm;10mm,Tube 2.439”
Lighthouse Pen Kit,PKSCERBU,3,PKLHPENAB;PKLHPENAC;PKLHPENAP,Lighthouse Pen Kits,3/8in,Tube 2-27/32”
Love Twist Pen Kit,PKLOVEBU,1,PKLOVEGD,Love Pen Kits,8mm,Tube 2.047”
Magnetic Graduate Fountain Pen Kit,PKGRAD2BU,3,PKGRAF24;PKGRAFCH;PKGRAFGM,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
Magnetic Graduate Rollerball Pen Kit,PKGRAD2BU,3,PKGRAR24;PKGRARCH;PKGRARGM,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
Magnetic Vertex Brushed Satin Fountain Pen Kit,PKFP5000BU,1,PKFP5120,Vertex Pen Kits,10.5mm,"Tube 2 3/8"""
Magnetic Vertex Brushed Satin Rollerball Pen Kit,PKFP5000BU,1,PKFP5020,Vertex Pen Kits,10.5mm,"Tube 2 3/8"""
Magnetic Vertex Fountain Pen Kit,PKFP5000BU,2,PKFP5100;PKFP5110,Vertex Pen Kits,10.5mm,"Tube 2 3/8"""
Magnetic Vertex Rollerball Pen Kit,PKFP5000BU,3,PKFP5000;PKFP5010;PKFP5030,Vertex Pen Kits,10.5mm,"Tube 2 3/8"""
Magnum Bolt Action Pen Kit,PKCP7000BU,5,PKCP7500;PKCP7510;PKCP7520;PKCP7530;PKCP7540,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
Majestic / Fountain Pen Kit,PKMAJBU,2,PKMAFGP;PKMAFTP,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
Majestic / Rollerball Pen Kit,PKMAJBU,2,PKMAJGP;PKMAJTP,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
Majestic Jr. / Fountain Pen Kit,PKMAJJRBU,2,PKMAFGPJR;PKMAFTPJR,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
Majestic Jr. / Rollerball Pen Kit,PKMAJJRBU,2,PKMAJGPJR;PKMAJTPJR,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
Majestic Jr. and Rollerball Pen Kit,PKMAJJRBU,1,PKMAJAXJR,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
Majestic Squire 22kt 2-micron and Ballpoint Twist Pen Kit,PKMAJSQBU,2,PKMAJSQ2P;PKMAJSQ4P,Majestic Pen Kits,3/8in,Tube 2”
Majestic Squire and Twist Pen Kit,PKMAJSQBU,1,PKMAJSQ5P,Majestic Pen Kits,3/8in,Tube 2”
Majestic Squire EDC and Ballpoint Click Pen Kit,PKMAJSQBU,1,PKMAJSQ6CL,Majestic Pen Kits,3/8in,Tube 5-3/32”
Majestic Squire EDC TN and Ballpoint Click Pen Kit,PKMAJSQBU,1,PKMAJSQ1CL,Majestic Pen Kits,3/8in,Tube 5-3/32”
Majestic Squire TN and Ballpoint Twist Pen Kit,PKMAJSQBU,2,PKMAJSQ1;PKMAJSQ3,Majestic Pen Kits,3/8in,Tube 2”
Matthew 17:20 Mustard Seed Twist Pen Kit,PKFSANDBU,4,PKM1720AP;PKM1720CH;PKM1720GD;PKM1720GM,Christian Pen Kits,3/8in,Tube 2.226”
Mechanical Carpenters Pencil Kit,PKMAJSQBU,3,PKCARPBR;PKCARPCH;PKCARPGM,Mechanical Pencil Kits,3/8in,Tube 3.205”
Mechanical Pencil Kit,PKFPBU,4,PKMPL24;PKMPLAB;PKMPLAP;PKMPLCH,Mechanical Pencil Kits,3/8in,Tube 3.12”
Medical Twist Pen Kit,PKMEDBU,4,PKMEDAB;PKMEDAP;PKMEDGD;PKMEDGM,Medical Pen Kits,3/8in,Tube 2-29/32”
Mini 30 Caliber Bolt Action Pen Kit,PKCP3000BU,3,PKCP8200;PKCP8210;PKCP8220,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-3/8”
Mini 30 Caliber Bullet Cartridge Twist Pen,PKM-BUSH3,1,PK30M,Bullet Cartridge Pen Kits,7mm,Tube / Barrel 7/8”
Mini Bolt Action Keychain Kit,PKCPMINBU,2,PKCPMINCH;PKCPMINGM,Key Chain Pen Kits,7mm,Tube 1.638”
Mini Click Pen Kit,PKMINCLKBU,1,PKMINCLKC,Specialty Pen Kits,10mm,"Tube 2-3/4"""
Mini Designer Pen Kit,PKMONT2-BU,1,PKMTMIN24,Designer Pen Kits,7mm,"Upper Tube 1-1/2"";Lower Tube 1-11/16"""
Mini Keychain Pen Kit,PKM-BUSH3,2,PKMINI;PKMINICH,Key Chain Pen Kits,7mm,Lower Tube 11/4”;Upper Tube 11/4”
