Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PKGEARAB,Gearshift Antique Brass Pen Kit,PKMAJSQBU,Gearshift Pen Kits,3/8in,Tube / Barrel 2-7/32”
PKGEARCH,Gearshift Chrome Pen Kit,PKMAJSQBU,Gearshift Pen Kits,3/8in,Tube / Barrel 2-7/32”
PKGEARFCH,Titan Gearshift Tire Spinner Pen Kit in Chrome,PKGEARFBU,Gearshift Pen Kits,3/8in,NOT FOUND
PKGEARFAP,Titan Gearshift Tire Spinner Pen Kit in Antique Pewter,PKGEARFBU,Gearshift Pen Kits,3/8in,Tube 2-7/32”
PKGEARFGM,Titan Gearshift Tire Spinner Pen Kit in Gun Metal,PKGEARFBU,Gearshift Pen Kits,3/8in,Tube 2-7/32”
PKGEARGM,Gearshift Gun Metal Pen Kit,PKMAJSQBU,Gearshift Pen Kits,3/8in,Tube / Barrel 2-7/32”
PKGOLFCH,Fore Real Chrome Golf Pencil Kit,PKGOLFBU,Fore Real Golf Pencil Kits,8mm,Tube 2.96”
PKGOLF24,Fore Real Gold Golf Pencil Kit,PKGOLFBU,Fore Real Golf Pencil Kits,8mm,Tube 2.96”
PKGOLFSC,Fore Real Satin Chrome Golf Pencil Kit,PKGOLFBU,Fore Real Golf Pencil Kits,8mm,Tube 2.96”
PKGRAD24,Graduate Gold Twist Pen Kit,PKGRADBU,Graduate Pen Kits,7mm,Lower Tube / Barrel 2-7/16”
PKGOLFGM,Fore Real Gun Metal Golf Pencil Kit,PKGOLFBU,Fore Real Golf Pencil Kits,8mm,Tube 2.96”
PKGRAF24,Magnetic Graduate Gold Fountain Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGRADCH,Graduate Chrome Twist Pen Kit,PKGRADBU,Graduate Pen Kits,7mm,Lower Tube / Barrel 2-7/16”
PKGRARCH,Magnetic Graduate Chrome Rollerball Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGRADGM,Graduate Gun Metal Twist Pen Kit,PKGRADBU,Graduate Pen Kits,7mm,Lower Tube / Barrel 2-7/16”
PKGRAFGM,Magnetic Graduate Gun Metal Fountain Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGRAR24,Magnetic Graduate Gold Rollerball Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGRAFCH,Magnetic Graduate Chrome Fountain Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGRARGM,Magnetic Graduate Gun Metal Rollerball Pen Kit,PKGRAD2BU,Graduate Pen Kits,10.5mm;12.5mm,Upper Tube 1-11/16”;Lower Tube 3”
PKGREN24,Grenade 24kt Gold Click Pen Kit,PKGRENBU,Grenade Pen Kits,10mm,Tube / Barrel 2.640”
PKGT2STGM,GT2 Gun Metal with Stylus Twist Pen Kit,NOT LISTED,GT2 Pen Kits,NOT LISTED,NOT FOUND
PKGVCL24,Groove 24kt Gold Click Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,"Upper Tube 2-1/16"";Lower Tube 2-1/16"""
PKGVCLCH,Groove Chrome Click Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,"Upper Tube 2-1/16"";Lower Tube 2-1/16"""
PKGVCLGM,Groove Gun Metal Click Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,"Upper Tube 2-1/16"";Lower Tube 2-1/16"""
PKGVCLSC,Groove Satin Chrome Click Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,"Upper Tube 2-1/16"";Lower Tube 2-1/16"""
PKGVTW24,Groove 24kt Gold Twist Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,Tube 2-1/32”
PKHEAVCH,Heavenly Messenger Cardinal Ballpoint Twist Pen Kit In Chrome,PKFSANDBU,Heavenly Messenger Cardinal Pen Kits,3/8in,Tube 2.226”
PKGVTWCH,Groove Chrome Twist Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,Tube 2-1/32”
PKGVTWGM,Groove Gun Metal Twist Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,Tube 2-1/32”
PKGVTWSC,Groove Satin Chrome Twist Pen Kit,PKM-BUSH3,Groove Pen Kits,7mm,Tube 2-1/32”
PKHCABAP,Honeycomb Antique Brass and Pewter Twist Pen Kit,PKHCBU,Honeycomb Pen Kits,3/8in,"Upper Tube 1-7/8"";Lower Tube 1-29/32"""
PKHEAVAP,Heavenly Messenger Cardinal Ballpoint Twist Pen Kit In Antique Pewter,PKFSANDBU,Heavenly Messenger Cardinal Pen Kits,3/8in,Tube 2.226”
PKHEAVGD,Heavenly Messenger Cardinal Ballpoint Twist Pen Kit In Golden,PKFSANDBU,Heavenly Messenger Cardinal Pen Kits,3/8in,Tube 2.226”
PKHEAVGM,Heavenly Messenger Cardinal Ballpoint Twist Pen Kit In Gun Metal,PKFSANDBU,Heavenly Messenger Cardinal Pen Kits,3/8in,Tube 2.226”
PKHGUNAB,Handgun Antique Brass Click Pen Kit,PKABBU,Handgun Pen Kits,3/8in,Tube 2.225”
PKHGUNFBK,Handgun Matte Black Click Pen Kit,PKABBU,Handgun Pen Kits,3/8in,Tube 2.225”
