Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PKPATPENGM,Patrizio Gun Metal Twist Pen Kit,PKPATPENBU,Patrizio Pen Kits,7mm,"Tube 1 15/32"""
PKPCLA2BT,Slimline Gun Metal Pencil Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PKPCLXXCH,Slimline Pro Chrome Pencil Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PK-PCL,Slimline Gold Pencil Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PCLA2B,Slimline Black Enamel Pencil Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PCLA2P,Slimline Chrome Pencil Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PKPCUCHBK,Pool Cue Chrome Band Rollerball Pen Kit,PKPCUBU,Pool Cue Pen Kits,10mm;8mm,"Lower Tube 3"";Upper Tube 3-1/2"""
PKPCUBKSC,Pool Cue Black Band Rollerball Pen Kit,PKPCUBU,Pool Cue Pen Kits,10mm;8mm,"Lower Tube 3"";Upper Tube 3-1/2"""
PK-PCLSAT,Slimline Brushed Satin Pencil Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PCLXX,Slimline Pro Gold Pencil Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PKPENA2BT,Slimline Gun Metal Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PEN,Slimline Golden Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENA2B,Slimline Black Enamel Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENA2P,Slimline Chrome Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENAC,Slimline Antique Copper Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENA2TN,Slimline Gold Titanium Nitride Twist Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENAB,Slimline Antique Brass Twist Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENSAT,Slimline Brushed Satin Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PK-PENRG,Slimline Copper Pen Kit,PKM-BUSH3,Slimline Pen Kits,7mm,Tube 2-1/32”
PKPENXEDCH,Slimline Pro EDC Chrome Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-7/8"";Lower Tube 1-7/8"""
PKPENXEDGD,Slimline Pro EDC Gold Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-7/8"";Lower Tube 1-7/8"""
PKPENXXAB,Slimline Pro Antique Brass Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PKPENXEDGM,Slimline Pro EDC Gun Metal Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-7/8"";Lower Tube 1-7/8"""
PKPENXXBT,Slimline Pro Gun Metal Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PKPENXXCH,Slimline Pro Chrome Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PK-PENXX,Slimline Pro Gold Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PK-PENXXS,Slimline Pro Brushed Satin Click Pen Kit,PK-PENXXBU,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
PKPERF,Perfume 24kt Gold Pen Kit,PKPERF-BU,Perfume Kits,5/16in,Tube 2-29/32”;Tube 31/32”
PKPISTCH,Piston Pen Kit in Chrome with Brass Wheels,PKCP3000BU,Piston Pen Kits,3/8in,Tube 2-17/32”
PKPICKLEAP,Pickleball Antique Pewter Twist Pen Kit,PKHOCKBU,Pickleball Pen Kits,3/8in,Upper Tube 1.653”;Lower Tube 1.715”
PKPICKLEAB,Pickleball Antique Brass Twist Pen Kit,PKHOCKBU,Pickleball Pen Kits,3/8in,Upper Tube 1.653”;Lower Tube 1.715”
PKPISTGM,Piston Pen Kit in Gun Metal with Gun Metal Wheels,PKCP3000BU,Piston Pen Kits,3/8in,Tube 2-17/32”
PKPISTBR,Piston Pen Kit in Brass with Oil Rubbed Bronze Wheels,PKCP3000BU,Piston Pen Kits,3/8in,Tube 2-17/32”
PKPISTORB,Piston Pen Kit in Oil Rubbed Bronze with Brass Wheels,PKCP3000BU,Piston Pen Kits,3/8in,Tube 2-17/32”
PKPOLICE24,Police Click Pen Kit in Matte  Gold,PKPOLICEBU,Police Pen Kits,3/8in,Tube 2.212”
PKPPENCH,American Patriot Chrome Twist Pen Kit,PKPPENBU,American Patriot Pen Kits,3/8in,Lower Tube / Barrel 1.63”;Upper Tube / Barrel 1.260”
PKPPENAB,American Patriot Antique Brass Twist Pen Kit,PKPPENBU,American Patriot Pen Kits,3/8in,Lower Tube / Barrel 1.63”;Upper Tube / Barrel 1.260”
PKPPENAP,American Patriot Antique Pewter Twist Pen Kit,PKPPENBU,American Patriot Pen Kits,3/8in,Lower Tube / Barrel 1.63”;Upper Tube / Barrel 1.260”
PKPOLICEGM,Police Click Pen Kit in Gun Metal,PKPOLICEBU,Police Pen Kits,3/8in,Tube 2.212”
PKPPRBCH,American Patriot Chrome Rollerball Pen Kit,PKPPRBBU,American Patriot Pen Kits,10.5mm,"Upper Tube 1.17"";Lower Tube 2.08"""
PKPOLICESG,Police Click Pen Kit in Satin Gun Metal,PKPOLICEBU,Police Pen Kits,3/8in,Tube 2.212”
PKPRFCH,Professional Chrome and Gold Twist Pen Kit,PKPRFBU,Professional Pen Kits,3/8in,Tube 2.800”
PKPROPCH,Propeller Chrome Twist Pen Kit,PKPROPBU,Airplane Pen Kits,3/8in,Upper Tube 1.773”;Lower Tube 1.773”
PKPROPAB,Propeller Antique Brass Twist Pen Kit,PKPROPBU,Airplane Pen Kits,NOT LISTED,Upper Tube 1.773”;Lower Tube 1.773”
PKPRPEN2,Princess Chrome with Pink Stones Pen Kit,PKPRPENBU,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
PKPRPEN1,Princess Chrome with Clear Stones Pen Kit,PKPRPENBU,Princess Pen Kits,8mm,"Lower Tube 2.465"""
PKPRPEN3,Princess Chrome with Blue Stones Pen Kit,PKPRPENBU,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
PKPROPGD,Propeller Golden Twist Pen Kit,PKPROPBU,Airplane Pen Kits,NOT LISTED,Upper Tube 1.773”;Lower Tube 1.773”
PKPROPAP,Propeller Antique Pewter Twist Pen Kit,PKPROPBU,Airplane Pen Kits,NOT LISTED,Upper Tube 1.773”;Lower Tube 1.773”
PKPRPEN4,Princess Gold with Clear Stones Pen Kit,PKPRPENBU,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
PKPRPEN98,4 Princess Twist Pen Kit Sampler Set,PKPRPENBU,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"";Upper Tube 1.496"""
PKPRTGD,Protura Golden Twist Pen Kit,PKKNBU,Protura Pen Kits,3/8in,Tube 2-29/32”
PKPRTCH,Protura Chrome Twist Pen Kit,PKKNBU,Protura Pen Kits,3/8in,Tube 2-29/32”
PKPRTGM,Protura Gun Metal Twist Pen Kit,PKKNBU,Protura Pen Kits,3/8in,Tube 2-29/32”
PKPT100RCH,Presimo Chrome and Satin Chrome Rollerball Pen Kit,PKPT100BU,Presimo Pen Kits,10mm,NOT FOUND
PKPT100FCH,Presimo Chrome and Satin Chrome Fountain Pen Kit,PKPT100BU,Presimo Pen Kits,10mm,NOT FOUND
PKPT100FRT,Presimo Etched Chrome Fountain Pen Kit,PKPT100BU,Presimo Pen Kits,10mm,NOT FOUND
PKPT100RRT,Presimo Etched Chrome Rollerball Pen Kit,PKPT100BU,Presimo Pen Kits,10mm,NOT FOUND
PKRAWFAL,RAW 6061 Aluminum Fountain Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWBRC,RAW C3604 Brass Rollerball Pen Kit with Clip,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWAL,RAW 6061-T6 Aluminum Rollerball Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWFBR,RAW C3604 Brass Fountain Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWBR,RAW C3604 Brass Rollerball Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWFST,RAW 303 Stainless Steel Fountain Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRAWFBRC,RAW C3604 Brass Fountain Pen Kit with Clip,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRB1000,Rollester Gold Rollerball Pen Kit,PKCHPENBU,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
PKRAWST,RAW 303 Stainless Steel Rollerball Pen Kit,PKMAJSQBU,RAW Pen Kits,3/8in,"Tube 2.966"""
PKRB1020,Rollester Gun Metal Rollerball Pen Kit,PKCHPENBU,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
PKRB1010,Rollester Chrome with Chrome Cap Rollerball Pen Kit,PKCHPENBU,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
PKRB1015,Rollester Chrome with Black Cap Rollerball Pen Kit,PKCHPENBU,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
PKREVAB,Revolver Antique Brass Click Pen Kit,PKREVBU,Revolver Pen Kits,10mm,"Tube 1.694"""
PKREVAP,Revolver Antique Pewter Click Pen Kit,PKREVBU,Revolver Pen Kits,10mm,"Tube 1.694"""
PKREVCH,Revolver Chrome Click Pen Kit,PKREVBU,Revolver Pen Kits,10mm,"Tube 1.694"""
PKREVGM,Revolver Gun Metal Click Pen Kit,PKREVBU,Revolver Pen Kits,10mm,"Tube 1.694"""
PKRISEAB,Phoenix Rising Antique Brass Twist Pen Kit,PKVICBU,Phoenix Rising Pen Kits,3/8in,Tube / Barrel 2.67”
PKRISEAC,Phoenix Rising Antique Copper Twist Pen Kit,PKVICBU,Phoenix Rising Pen Kits,3/8in,Tube / Barrel 2.67”
PKRPENGM,Spartan Gun Metal Click Pen Kit,PKMAJSQBU,Spartan Pen Kits,3/8in,Tube / Barrel 2.79”
PKRISEAP,Phoenix Rising Antique Pewter Twist Pen Kit,PKVICBU,Phoenix Rising Pen Kits,3/8in,Tube / Barrel 2.67”
PKRPEN24,Spartan Gold Click Pen Kit,PKMAJSQBU,Spartan Pen Kits,3/8in,Tube / Barrel 2.79”
PKRYL24,Crown Jewel Golden Twist Pen Kit,PKNICK-BU,Crown Jewel Pen Kits,11/32in,Tube / Barrel 3-1/8”
PKRYLCH,Crown Jewel Chrome Twist Pen Kit,PKNICK-BU,Crown Jewel Pen Kits,11/32in,Tube / Barrel 3-1/8”
PKSAXACH,Saxa Chrome EDC Click Pen Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.120”
PKSAXAGD,Saxa Golden EDC Click Pen Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.120”
PKSAXAGM,Saxa Gun Metal EDC Click Pen Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.120”
PKSAXALCH,Saxa Chrome EDC Pencil Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.118”
PKSAXALGD,Saxa Golden EDC Pencil Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.118”
PKSAXALGM,Saxa Gun Metal EDC Pencil Kit,PKM-BUSH3,Saxa EDC Pen Kits,7mm,Tube 3.118”
PKSCERAP,Soccer Antique Pewter Twist Pen Kit,PKSCERBU,Soccer Pen Kits,3/8in,Tube 3.205”
PKSCERGM,Soccer Gun Metal Twist Pen Kit,PKSCERBU,Soccer Pen Kits,3/8in,Tube 3.205”
PKSCERCH,Soccer Chrome Twist Pen Kit,PKSCERBU,Soccer Pen Kits,3/8in,Tube 3.205”
PKSC-PEN,Sculptured Gold Twist Pen Kit,PKSC-BU,Sculpted Pen Kits,8mm,"Tube 2.007"""
PKSC-PEN3,Sculpted Latticed Gold Twist Pen Kit,PKSC-BU,Sculpted Pen Kits,8mm,"Tube 2.007"""
PKSER22,Serpent 22kt Gold Twist Pen Kit,PKSERBU,Serpent Pen Kits,10.5mm,"Upper Tube 1-21/32"";Lower Tube 2-5/32"""
PKSERAB,Serpent Antique Brass Twist Pen Kit,PKSERBU,Serpent Pen Kits,10.5mm,"Upper Tube 1-21/32"";Lower Tube 2-5/32"""
PKSC-PEN4,Sculpted Floral Design Gold Twist Pen Kit,PKSC-BU,Sculpted Pen Kits,8mm,"Tube 2.007"""
PKSC-PEN6,Sculpted Arbor Gold Pen Kit,PKSC-BU,Sculpted Pen Kits,8mm,"Tube 2.007"""
PKSERAP,Serpent Antique Pewter Twist Pen Kit,PKSERBU,Serpent Pen Kits,10.5mm,"Upper Tube 1-21/32"";Lower Tube 2-5/32"""
PKSKULLAP,Skull Antique Pewter Twist Pen Kit,PKSKULLBU,Skull Pen Kits,3/8in,"Upper Tube / Barrel 1-3/8"";Lower Tube / Barrel 1-23/32"""
PKSKULLAB,Skull Antique Brass Twist Pen Kit,PKSKULLBU,Skull Pen Kits,3/8in,"Upper Tube / Barrel 1-3/8"";Lower Tube / Barrel 1-23/32"""
PKSHA24,Shake Pen Kit in 24kt Gold,PKSHAKEBU,Shake Pen Kits,10mm,Tube 2.125”
PKSHACH,Shake Pen Kit in Chrome,PKSHAKEBU,Shake Pen Kits,10mm,Tube 2.125”
PKSKULLCH,Skull Chrome Twist Pen Kit,PKSKULLBU,Skull Pen Kits,3/8in,"Upper Tube / Barrel 1-3/8"";Lower Tube / Barrel 1-23/32"""
PKSKULLGM,Skull Gun Metal Twist Pen Kit,PKSKULLBU,Skull Pen Kits,3/8in,"Upper Tube / Barrel 1-3/8"";Lower Tube / Barrel 1-23/32"""
PKSLFUN24,Funline Slimline Economy Gold Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUNCH,Funline Slimline Chrome Twist Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUNSG,Funline Slimline Satin Gold Twist Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUNGM,Funline Slimline Gun Metal Twist Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUNSP,Funline Slimline Satin Pearl Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUNCO,Funline Slimline Copper Twist Pen Kit,PKM-BUSH3,Funline Pen Kits,7mm,NOT FOUND
PKSLFUPL24,Funline Slimline Economy Gold Pencil Kit,PKM-BUSH3,Funline Pen Kits,7mm,Tube 2-1/32”
PKSLFUPLCH,Funline Slimline Chrome Pencil Kit,PKM-BUSH3,Funline Pen Kits,7mm,Tube 2-1/32”
PKSLFUPLCO,Funline Slimline Copper Pencil Kit,PKM-BUSH3,Funline Pen Kits,7mm,Tube 2-1/32”
PKSLX242,Chic-Line V2 Golden Twist Pen Kit,PKM-BUSH3,Chic-Line Pen Kits,7mm,Tube 2-1/32”
PKSLFUPLGM,Funline Slimline Gun Metal Pencil Kit,PKM-BUSH3,Funline Pen Kits,7mm,Tube 2-1/32”
PKSLXCH2,Chic-Line V2 Chrome Twist Pen Kit,PKM-BUSH3,Chic-Line Pen Kits,7mm,Tube 2-1/32”
PKSLXGM2,Chic-Line V2 Gun Metal Twist Pen Kit,PKM-BUSH3,Chic-Line Pen Kits,7mm,Tube 2-1/32”
PKSLXRG2,Chic-Line V2 Rose Gold Twist Pen Kit,PKM-BUSH3,Chic-Line Pen Kits,7mm,Tube 2-1/32”
PKSOPHAL,Sophro Capless Rollerball Aluminum Twist Pen Kit,PKSOPHBU,Sophro Pen Kits,10.5mm,Tube 3.108”
PKSOPHCH,Sophro Capless Rollerball Chrome Twist Pen Kit,PKSOPHBU,Sophro Pen Kits,10.5mm,Tube 3.108”
PKSPABORB,Steampump Pen Kit in Oil Rubbed Bronze and Antique Brass,PKSPBU,Steampunk Pen Kits,10mm,Tube 5-5/8”;Tube 2.169”
PKSPABAP,Steampump Pen Kit in Antique Brass and Antique Pewter,PKSPBU,Steampunk Pen Kits,10mm,Tube 5-5/8”;Tube 2.169”
PKSPCL,Workshop/Sketch Pencil Kit Chrome,PKSPCLBU,Workshop Sketch Pen &amp; Pencil Kits,11mm,"Tube 1.776"""
PKSPCL3C,Mini Sketch Chrome Pencil Kit: with 3mm lead,PKSPCL3BU,Workshop Sketch Pen &amp; Pencil Kits,8mm,Tube 3-1/4”
PKSPCL2BT,Deluxe Sketch Pen and Pencil Combo Kit in Gun Metal,PKSPCL2BU,Workshop Sketch Pen &amp; Pencil Kits,11mm,"Tube 2-11/16"""
PKSPCL2C,Deluxe Sketch Pen and Pencil Combo Kit in Chrome,PKSPCL2BU,Workshop Sketch Pen &amp; Pencil Kits,11mm,"Tube 2-11/16"""
PKSPPA,Steampunk Bolt Action Antique Brass and Antique Copper Pen Kit,PKVICBU,Steampunk Pen Kits,3/8in,"Tube / Barrel 1.85"""
PKSPPC,Steampunk Bolt Action Antique Copper and Antique Brass Pen Kit,PKVICBU,Steampunk Pen Kits,3/8in,"Tube / Barrel 1.85"""
PKSTLGM,Steam Locomotive Pen Kit in Gun Metal,PKPPENBU,Steam Locomotive Pen Kits,3/8in,Tube 2.271”
PKSTLAP,Steam Locomotive Pen Kit in Pewter,PKPPENBU,Steam Locomotive Pen Kits,3/8in,Tube 2.271”
PKTANKAP,Tank Antique Pewter Twist Pen Kit,PKTANKBU,Tank Pen Kits,3/8in,Tube / Barrel 2.8425”
PKSPPB,Steampunk Bolt Action Antique Pewter and Antique Copper Pen Kit,PKVICBU,Steampunk Pen Kits,3/8in,"Tube / Barrel 1.85"""
PKSWPAB,Southwest Antique Brass with Turquoise Stone Twist Pen Kit,PKSWPBU,Southwest Pen Kits,3/8in,Lower Tube / Barrel 1.915”;Upper Tube / Barrel 1.495”
PKSWPAP,Southwest Antique Pewter with Turquoise Stone Twist Pen Kit,PKSWPBU,Southwest Pen Kits,3/8in,Lower Tube / Barrel 1.915”;Upper Tube / Barrel 1.495”
PKTEECH,Tee Time Golf Chrome Twist Pen Kit,PKBASKETBU,Golf Pen Kits,3/8in,Tube 3.268”
PKTANKAB,Tank Antique Brass Twist Pen Kit,PKTANKBU,Tank Pen Kits,3/8in,Tube / Barrel 2.8425”
PKTANKGR,Tank OD Green Twist Pen Kit,PKTANKBU,Tank Pen Kits,3/8in,Tube / Barrel 2.8425”
PKTEEGD,Tee Time Golf Golden Twist Pen Kit,PKBASKETBU,Golf Pen Kits,3/8in,Tube 3.268”
PKTEACH,Teachers 24kt Gold Twist Pen Kit,PKM-BUSH3,Specialty Pen Kits,7mm,"End Tube 13/16"";Center Tube 2-3/16"""
PKTPEN24,Bolt Action Gold Tec-Pen Kit,PKTPENBU,Bolt Action Pen Kits,8mm,Tube / Barrel 2.50”
PKTPENAB,Bolt Action Antique Brass Tec-Pen Kit,PKTPENBU,Bolt Action Pen Kits,8mm,Tube / Barrel 2.50”
PKTPENCH,Bolt Action Chrome Tec-Pen Kit,PKTPENBU,Bolt Action Pen Kits,8mm,Tube / Barrel 2.50”
PKTPENGM,Bolt Action Gun Metal Tec-Pen Kit,PKTPENBU,Bolt Action Pen Kits,8mm,Tube / Barrel 2.50”
PKTSPEN24,Touch Stylus Pen Kit in Gold,PKM-BUSH3,Stylus Pen Kits,7mm,Tube / Barrel 1-29/32”
PKTST24,Touch Stylus Kit in Gold,PKM-BUSH3,Stylus Pen Kits,7mm,Tube / Barrel 3-3/16”
PKTSPENCH,Touch Stylus Pen Kit in Chrome,PKM-BUSH3,Stylus Pen Kits,7mm,Tube / Barrel 1-29/32”
PKTSPENGM,Touch Stylus Pen Kit in Gun Metal,PKM-BUSH3,Stylus Pen Kits,7mm,Tube / Barrel 1-29/32”
PKTSTCH,Touch Stylus Kit in Chrome,PKM-BUSH3,Stylus Pen Kits,7mm,Tube / Barrel 3-3/16”
PKTYRB24,Tycoon Gold Rollerball Pen Kit,PKTYBU,Tycoon Pen Kits,15/32in;25/64in,"Upper Tube 1-3/16"";Lower Tube 2-1/8"""
PKTYFP24,Tycoon Gold Fountain Pen Kit,PKTYBU,Tycoon Pen Kits,15/32in;25/64in,"Upper Tube 1-3/16"";Lower Tube 2-1/8"""
PKTYRBP,Tycoon Chrome Rollerball Pen Kit,PKTYBU,Tycoon Pen Kits,15/32in;25/64in,"Upper Tube 1-3/16"";Lower Tube 2-1/8"""
PKVEPGM,Vesper Gun Metal Click Pen Kit,PKVESBU,Vesper Pen Kits,10mm,Tube / Barrel 2.28”
PKVEPCH,Vesper Chrome Click Pen Kit,PKVESBU,Vesper Pen Kits,10mm,Tube / Barrel 2.28”
PKVEP24,Vesper 24kt Gold Click Pen Kit,PKVESBU,Vesper Pen Kits,10mm,Tube / Barrel 2.28”
PKVIC24,Victorian Golden Twist Pen Kit,PKVICBU,Victorian Pen Kits,3/8in,Tube / Barrel 1-11/32”
PKVICAB,Victorian Antique Brass Twist Pen Kit,PKVICBU,Victorian Pen Kits,3/8in,Tube / Barrel 1-11/32”
PKVICAP,Victorian Antique Pewter Twist Pen Kit,PKVICBU,Victorian Pen Kits,3/8in,Tube / Barrel 1-11/32”
PKWESTAC,Cowboy Antique Copper Twist Pen Kit,PKWESTBU,Cowboy Pen Kits,8mm,"Lower Tube 1.42"";Upper Tube 1.7"""
PKVICFPAB,Victorian Fountain Antique Brass Gold Pen Kit,PKVICRBU,Victorian Pen Kits,10.5mm;12.5mm,Tube / Barrel 2-9/32”;Tube / Barrel 1.37”
PKWESTAP,Cowboy Antique Pewter Twist Pen Kit,PKWESTBU,Cowboy Pen Kits,8mm,"Lower Tube 1.42"";Upper Tube 1.7"""
PKXM24,Trimline 24kt Gold Twist Pen Kit,PKXMBU,Trimline Pen Kits,7mm,"Upper Tube 2-3/32"";Lower Tube 2-3/32"""
PKXMCH,Trimline Chrome Twist Pen Kit,PKXMBU,Trimline Pen Kits,7mm,"Upper Tube 2-3/32"";Lower Tube 2-3/32"""
PKXMGM,Trimline Gun Metal Twist Pen Kit,PKXMBU,Trimline Pen Kits,7mm,"Upper Tube 2-3/32"";Lower Tube 2-3/32"""
PKXMPLGM,Trimline Gun Metal Pencil Kit,PKXMBU,Trimline Pen Kits,7mm,Tube 2.0”
PKYOGA24,Yoga 24kt Gold Twist Pen Kit,PKYOGABU,Yoga Pen Kits,3/8in,"Lower Tube 1.954"";Upper Tube 1.49"""
PKYOGACH,Yoga Chrome Twist Pen Kit,PKYOGABU,Yoga Pen Kits,3/8in,"Lower Tube 1.954"";Upper Tube 1.49"""
PKYOGAORB,Yoga Oil Rubbed Bronze Twist Pen Kit,PKYOGABU,Yoga Pen Kits,3/8in,"Lower Tube 1.954"";Upper Tube 1.49"""
